Date,State,TotalSamples,Negative,Positive,total_positive
01-06-2020,Andhra Pradesh,383315,379639,3118,6163
02-06-2020,Andhra Pradesh,395681,391890,3200,6318
03-06-2020,Andhra Pradesh,403747,399776,3279,6479
04-06-2020,Andhra Pradesh,413733,409621,3377,6656
05-06-2020,Andhra Pradesh,423564,419314,3427,6804
06-06-2020,Andhra Pradesh,436335,431875,3588,7015
07-06-2020,Andhra Pradesh,454030,449371,3718,7306
08-06-2020,Andhra Pradesh,468276,463463,3843,7561
09-06-2020,Andhra Pradesh,483361,478332,3990,7833
10-06-2020,Andhra Pradesh,498716,493469,4126,8116
11-06-2020,Andhra Pradesh,510318,504889,4261,8387
12-06-2020,Andhra Pradesh,522093,516457,4402,8663
13-06-2020,Andhra Pradesh,536570,530712,4588,8990
14-06-2020,Andhra Pradesh,552202,546050,4841,9429
15-06-2020,Andhra Pradesh,567375,560919,5087,9928
16-06-2020,Andhra Pradesh,583286,576566,5280,10367
17-06-2020,Andhra Pradesh,598474,591403,5555,10835
18-06-2020,Andhra Pradesh,612397,604901,5854,11409
19-06-2020,Andhra Pradesh,630006,622045,7961,13815
20-06-2020,Andhra Pradesh,652377,643925,8452,16413
21-06-2020,Andhra Pradesh,676828,667899,8929,17381
22-06-2020,Andhra Pradesh,693548,684176,9372,18301
23-06-2020,Andhra Pradesh,714187,704353,9834,19206
24-06-2020,Andhra Pradesh,750234,739903,10331,20165
25-06-2020,Andhra Pradesh,769319,758435,10884,21215
26-06-2020,Andhra Pradesh,791624,780135,11489,22373
27-06-2020,Andhra Pradesh,816082,803797,12285,23774
28-06-2020,Andhra Pradesh,841860,828762,13098,25383
29-06-2020,Andhra Pradesh,872076,858185,13891,26989
30-06-2020,Andhra Pradesh,890190,875595,14595,28486
01-07-2020,Andhra Pradesh,918429,903177,15252,29847
02-07-2020,Andhra Pradesh,932713,916616,16097,31349
03-07-2020,Andhra Pradesh,971611,954677,16934,33031
04-07-2020,Andhra Pradesh,996573,978874,17699,34633
05-07-2020,Andhra Pradesh,1017140,998443,18697,36396
06-07-2020,Andhra Pradesh,1033852,1013833,20019,38716
07-07-2020,Andhra Pradesh,1050090,1028897,21197,41216
08-07-2020,Andhra Pradesh,1077733,1055474,22259,43456
09-07-2020,Andhra Pradesh,1094615,1070801,23814,46073
10-07-2020,Andhra Pradesh,1115635,1090213,25422,49236
11-07-2020,Andhra Pradesh,1136225,1108990,27235,52657
12-07-2020,Andhra Pradesh,1153849,1124681,29168,56403
13-07-2020,Andhra Pradesh,1173096,1141993,31103,60271
14-07-2020,Andhra Pradesh,1195766,1162747,33019,64122
15-07-2020,Andhra Pradesh,1217963,1182512,35451,68470
16-07-2020,Andhra Pradesh,1240267,1202223,38044,73495
17-07-2020,Andhra Pradesh,1260512,1219866,40646,78690
18-07-2020,Andhra Pradesh,1284384,1239775,44609,85255
19-07-2020,Andhra Pradesh,1315532,1265882,49650,94259
20-07-2020,Andhra Pradesh,1349112,1295388,53724,103374
21-07-2020,Andhra Pradesh,1386274,1327606,58668,112392
22-07-2020,Andhra Pradesh,1435827,1371114,64713,123381
23-07-2020,Andhra Pradesh,1493879,1421168,72711,137424
24-07-2020,Andhra Pradesh,1541993,1461135,80858,153569
25-07-2020,Andhra Pradesh,1595674,1507003,88671,169529
26-07-2020,Andhra Pradesh,1643319,1547021,96298,184969
27-07-2020,Andhra Pradesh,1686446,1584097,102349,198647
28-07-2020,Andhra Pradesh,1749425,1639128,110297,212646
29-07-2020,Andhra Pradesh,1820009,1699619,120390,230687
30-07-2020,Andhra Pradesh,1890077,1759520,130557,250947
31-07-2020,Andhra Pradesh,1951776,1810843,140933,271490
01-08-2020,Andhra Pradesh,2012573,1862364,150209,291142
02-08-2020,Andhra Pradesh,2065407,1906643,158764,308973
03-08-2020,Andhra Pradesh,2110923,1944337,166586,325350
04-08-2020,Andhra Pradesh,2175070,1998737,176333,342919
05-08-2020,Andhra Pradesh,2235646,2049185,186461,362794
06-08-2020,Andhra Pradesh,2299332,2102543,196789,383250
07-08-2020,Andhra Pradesh,2362270,2155310,206960,403749
08-08-2020,Andhra Pradesh,2424393,2207353,217040,424000
09-08-2020,Andhra Pradesh,2487305,2259445,227860,444900
10-08-2020,Andhra Pradesh,2534304,2298779,235525,463385
11-08-2020,Andhra Pradesh,2592619,2348070,,235525
12-08-2020,Andhra Pradesh,2649767,2395621,,235525
13-08-2020,Andhra Pradesh,2705459,2441317,,235525
14-08-2020,Andhra Pradesh,2758485,2485400,,235525
15-08-2020,Andhra Pradesh,2812197,2530380,,235525
16-08-2020,Andhra Pradesh,2860943,2571114,,235525
17-08-2020,Andhra Pradesh,2905521,2608912,,235525
18-08-2020,Andhra Pradesh,2961611,2658245,,235525
19-08-2020,Andhra Pradesh,3019296,2703293,,235525
20-08-2020,Andhra Pradesh,3074847,2749451,,235525
